Data,pm25_Target_Real_Daily_Avg,pm25_Prediction_Daily_Avg
2023-07-19,4.055,4.801737660221164
2023-07-20,4.097,4.448131980565226
2023-07-21,2.234,3.680163956612864
2023-07-22,2.038,3.4310196851825054
2023-07-23,2.572,3.322572789528335
2023-07-24,2.386,3.5208163859723625
2023-07-25,2.474,3.5589254663493843
2023-07-26,3.52,4.022270595662428
2023-07-27,4.603,4.6464344435123
2023-07-28,2.602,3.5271979009123435
2023-07-29,3.724,4.3105211395979
2023-07-30,5.446,4.836719481749513
2023-07-31,3.895,3.9986126949357637
2023-08-01,4.114,4.123854236076284
2023-08-02,5.264,4.520801810052639
2023-08-03,4.156,4.435126536495674
2023-08-04,4.451,4.791874014704861
2023-08-05,3.825,4.862903302304122
2023-08-06,4.136,4.343226725340183
2023-08-07,3.423,3.9398430803641946
2023-08-08,4.704,5.169073485283873
2023-08-09,6.847,5.452671291587107
2023-08-10,4.246,4.352533422969202
2023-08-11,3.7109999999999994,4.140327592692461
2023-08-12,2.885,4.187236539757528
2023-08-13,4.454,4.774063198272497
2023-08-14,4.149,4.768986782655773
2023-08-15,3.208,4.218431540263191
2023-08-16,3.516,4.5568382748426535
2023-08-17,3.942,4.36341015135267
2023-08-18,3.675,4.1340353746991765
2023-08-19,6.612,6.4148300658350275
2023-08-20,7.471,6.703677574012859
2023-08-21,10.882,8.272487829631979
2023-08-22,9.381,8.165541482958172
2023-08-23,7.074,6.885612318374358
2023-08-24,8.895,8.908791108439388
2023-08-25,7.13,8.134560331912752
2023-08-26,11.574,9.519102027580782
2023-08-27,23.781,15.54769407500627
2023-08-28,20.187,14.600552499527609
2023-08-29,18.782,14.047154358880302
2023-08-30,15.965,10.059596373420627
2023-08-31,9.079,7.277402672004124
2023-09-01,5.812,6.3393325211472265
2023-09-02,4.734,4.965921870022815
2023-09-03,5.497,5.50847316588301
2023-09-04,4.432,5.093927306067528
2023-09-05,7.174,7.223255782798486
2023-09-06,6.855,5.944956287491878
2023-09-07,5.74,5.575179046592208
2023-09-08,2.592,4.081611890830786
2023-09-09,4.171,4.61363441402524
2023-09-10,4.183,4.444178982299517
2023-09-11,3.407,4.245263342696132
2023-09-12,6.868,5.7698460204639055
2023-09-13,4.795,5.329272979676644
2023-09-14,5.696,6.184724894198939
2023-09-15,15.279,10.66247119869535
2023-09-16,14.645999999999997,12.669400775200609
2023-09-17,5.095,5.9100816158660665
2023-09-18,7.247,8.14211145671652
2023-09-19,4.113,5.299227227014863
2023-09-20,9.414,6.881628310650214
2023-09-21,9.197,8.15709867538696
2023-09-22,6.308,6.5141909971628555
2023-09-23,6.205,6.861929713016908
2023-09-24,6.47,7.231514077658511
2023-09-25,12.299,12.902415882136424
2023-09-26,9.537,12.262480507923623
2023-09-27,10.361,12.746641862073147
2023-09-28,20.19,18.172884314968027
2023-09-29,15.398,14.744744165190582
2023-09-30,15.253,14.359629852020955
2023-10-01,5.666,6.664122436380152
2023-10-02,8.896,8.170953083799887
2023-10-03,5.89,6.5467391552188525
2023-10-04,8.171,7.4388273616799525
2023-10-05,15.653000000000002,12.397284928567618
2023-10-06,12.198,10.658831383092839
2023-10-07,16.432,14.065542324382413
2023-10-08,5.626,6.483036592027052
2023-10-09,6.631,7.201353583567023
2023-10-10,9.505,8.600994054753887
2023-10-11,3.411,5.896186499497072
2023-10-12,6.044,6.681603214385605
2023-10-13,7.288,7.771513172853062
2023-10-14,9.31,7.991297405963399
2023-10-15,5.941,5.513731713816807
2023-10-16,4.954,5.602470908438567
2023-10-17,5.156,5.833366113580009
2023-10-18,3.683,5.252621715864128
2023-10-19,6.701,6.612441442469845
2023-10-20,5.365,6.7925435407048385
2023-10-21,12.118,9.839852285335319
2023-10-22,5.882,5.879692314432414
2023-10-23,5.703,5.7404573691633045
2023-10-24,6.414,7.101380762282403
2023-10-25,7.387,7.536568788656783
2023-10-26,6.665,7.412320064865986
2023-10-27,6.739,6.729120191308904
2023-10-28,14.552,11.67997670945142
2023-10-29,8.662,7.805548176539533
2023-10-30,5.35,6.884598141812599
2023-10-31,5.737,6.854790589399481
2023-11-01,17.672,8.856254395013227
2023-11-02,5.973,7.10876037004014
2023-11-03,8.266,6.623852987508851
2023-11-04,6.782,6.646368427731601
2023-11-05,11.037,8.027207130850682
2023-11-06,5.042,6.359600032973353
2023-11-07,5.659,5.961916531206468
2023-11-08,4.595,5.085221175439524
2023-11-09,4.185,4.818660139304838
2023-11-10,3.881,4.747722850721265
2023-11-11,4.028,4.721534398048385
2023-11-12,4.147,5.353809567505597
2023-11-13,6.726,7.870683994326793
2023-11-14,7.672,8.227989128108
2023-11-15,7.296,8.863982569670965
2023-11-16,9.685,9.75603024509718
2023-11-17,6.719,8.647208441417995
2023-11-18,6.86,8.43985784311047
2023-11-19,6.245,8.329860217194652
2023-11-20,7.544,9.46501947335115
2023-11-21,9.685,9.408320801657212
2023-11-22,2.978,5.750207173939565
2023-11-23,5.746,6.560588416833699
2023-11-24,6.819,6.8551992451670705
2023-11-25,5.846,6.309911042925119
2023-11-26,6.203,6.468934107946646
2023-11-27,4.911,5.924858073155111
2023-11-28,5.36,6.00547143863244
2023-11-29,4.718,6.038399237381848
2023-11-30,4.138,5.563844269263321
2023-12-01,5.793,6.1461748940638605
2023-12-02,3.632,5.670789793655718
2023-12-03,7.774,7.5525690258594125
2023-12-04,5.456,6.741881291139586
2023-12-05,7.66,6.552288111234341
2023-12-06,4.568,5.4706681004351045
2023-12-07,5.204,5.542065239343423
2023-12-08,3.871,4.84636914913562
2023-12-09,5.128,5.972484387370131
2023-12-10,5.69,5.530007915899014
2023-12-11,4.482,5.939616613153337
2023-12-12,7.272,7.306091953864308
2023-12-13,4.23,6.222403895261361
2023-12-14,7.18,6.9922754624837875
2023-12-15,5.497,6.185784941598588
2023-12-16,5.479,6.357339945266265
2023-12-17,6.586,7.329043842564283
2023-12-18,3.398,5.596514277763873
2023-12-19,5.386,7.340334502183373
2023-12-20,6.563,7.335960881844537
2023-12-21,8.12,7.8584927737135715
2023-12-22,5.579,6.034235863744599
2023-12-23,5.409,5.997246469289985
2023-12-24,5.719,5.529474884539061
2023-12-25,5.966,6.071592546577231
2023-12-26,5.428,6.304680159031004
2023-12-27,5.734,6.1613300913566516
2023-12-28,4.248,5.4946294370761
2023-12-29,6.601,6.2276081444754094
2023-12-30,4.983,5.938198091267382
2023-12-31,5.979,6.091645404755915
