clip	duration[ms]
common_voice_pt_42653392.mp3	5940
common_voice_pt_42503099.mp3	5256
common_voice_pt_42469185.mp3	3096
common_voice_pt_41978892.mp3	3384
common_voice_pt_42068146.mp3	4860
common_voice_pt_42693837.mp3	2556
common_voice_pt_42516712.mp3	5040
common_voice_pt_42137952.mp3	3312
common_voice_pt_42015158.mp3	2808
common_voice_pt_42557921.mp3	6048
common_voice_pt_42516784.mp3	3528
common_voice_pt_42286542.mp3	4068
common_voice_pt_42068105.mp3	4860
common_voice_pt_42516803.mp3	2880
common_voice_pt_42516769.mp3	2700
common_voice_pt_42653466.mp3	3708
common_voice_pt_42068104.mp3	4716
common_voice_pt_42024906.mp3	12780
common_voice_pt_42015159.mp3	3636
common_voice_pt_42061948.mp3	7452
common_voice_pt_42502944.mp3	7524
common_voice_pt_42503290.mp3	5220
common_voice_pt_42516800.mp3	4500
common_voice_pt_42516733.mp3	3348
common_voice_pt_42516827.mp3	4356
common_voice_pt_42516848.mp3	3276
common_voice_pt_42027926.mp3	4860
common_voice_pt_42516766.mp3	3600
common_voice_pt_42541036.mp3	14076
common_voice_pt_42516779.mp3	4608
common_voice_pt_42458232.mp3	3708
common_voice_pt_42653469.mp3	12528
common_voice_pt_42653338.mp3	5148
common_voice_pt_42516773.mp3	2520
common_voice_pt_42578463.mp3	2448
common_voice_pt_42503101.mp3	3456
common_voice_pt_41978929.mp3	6696
common_voice_pt_42616734.mp3	13716
common_voice_pt_42516842.mp3	4320
common_voice_pt_42653465.mp3	9756
common_voice_pt_42469189.mp3	1620
common_voice_pt_42458233.mp3	3276
common_voice_pt_41978905.mp3	5760
common_voice_pt_42024904.mp3	3888
common_voice_pt_42516695.mp3	9900
common_voice_pt_42068098.mp3	3168
common_voice_pt_42653487.mp3	7416
common_voice_pt_42653384.mp3	3456
common_voice_pt_42516852.mp3	2988
common_voice_pt_41978876.mp3	5724
common_voice_pt_42516694.mp3	2700
common_voice_pt_42516765.mp3	5580
common_voice_pt_42516873.mp3	4248
common_voice_pt_42516829.mp3	2880
common_voice_pt_42516815.mp3	5040
common_voice_pt_41978942.mp3	13176
common_voice_pt_42502947.mp3	9360
common_voice_pt_41964530.mp3	5616
common_voice_pt_42516818.mp3	4896
common_voice_pt_42516791.mp3	2700
common_voice_pt_42503349.mp3	3564
common_voice_pt_42677140.mp3	2880
common_voice_pt_42068144.mp3	7020
common_voice_pt_42458220.mp3	8460
common_voice_pt_42502945.mp3	7344
common_voice_pt_42516854.mp3	3348
common_voice_pt_42503379.mp3	2700
common_voice_pt_42653411.mp3	10548
common_voice_pt_42615433.mp3	5940
common_voice_pt_42516853.mp3	4068
common_voice_pt_42458234.mp3	3348
common_voice_pt_42068121.mp3	5436
common_voice_pt_41978912.mp3	2376
common_voice_pt_42541038.mp3	5580
common_voice_pt_42653476.mp3	8388
common_voice_pt_42653456.mp3	2880
common_voice_pt_42503426.mp3	8352
common_voice_pt_42516822.mp3	3888
common_voice_pt_42294977.mp3	5760
common_voice_pt_42516731.mp3	4536
common_voice_pt_42516839.mp3	3888
common_voice_pt_42690218.mp3	6732
common_voice_pt_42516788.mp3	2340
common_voice_pt_42516836.mp3	2808
common_voice_pt_42516778.mp3	3168
common_voice_pt_42015156.mp3	3996
common_voice_pt_42137956.mp3	7236
common_voice_pt_42458218.mp3	3996
common_voice_pt_42653454.mp3	4968
common_voice_pt_42653462.mp3	7920
common_voice_pt_42294927.mp3	7128
common_voice_pt_42516872.mp3	4536
common_voice_pt_42286549.mp3	5220
common_voice_pt_42653418.mp3	3708
common_voice_pt_41978889.mp3	4680
common_voice_pt_42516745.mp3	5436
common_voice_pt_41964522.mp3	4176
common_voice_pt_42653480.mp3	3780
common_voice_pt_42578480.mp3	2376
common_voice_pt_42561427.mp3	5436
common_voice_pt_42578460.mp3	6372
common_voice_pt_42653489.mp3	3312
common_voice_pt_42653376.mp3	7812
common_voice_pt_42653467.mp3	2160
common_voice_pt_42516826.mp3	2376
common_voice_pt_42503319.mp3	5364
common_voice_pt_42541035.mp3	5400
common_voice_pt_41978877.mp3	10512
common_voice_pt_42503081.mp3	3780
common_voice_pt_42294926.mp3	6840
common_voice_pt_42578483.mp3	4968
common_voice_pt_42068145.mp3	2448
common_voice_pt_42027981.mp3	6804
common_voice_pt_42028154.mp3	7668
common_voice_pt_42653439.mp3	2016
common_voice_pt_41978873.mp3	11664
common_voice_pt_42516874.mp3	5616
common_voice_pt_41978947.mp3	2052
common_voice_pt_42503424.mp3	5688
common_voice_pt_42024893.mp3	2160
common_voice_pt_41998699.mp3	3168
common_voice_pt_42653337.mp3	4176
common_voice_pt_42503028.mp3	3456
common_voice_pt_41978883.mp3	14436
common_voice_pt_42578459.mp3	4572
common_voice_pt_42294903.mp3	4716
common_voice_pt_42294898.mp3	5436
common_voice_pt_42482580.mp3	2160
common_voice_pt_42653397.mp3	5976
common_voice_pt_42558467.mp3	2664
common_voice_pt_42653457.mp3	4356
common_voice_pt_42516847.mp3	2376
common_voice_pt_42022075.mp3	6948
common_voice_pt_42028156.mp3	6624
common_voice_pt_42503079.mp3	8496
common_voice_pt_42690216.mp3	10044
common_voice_pt_42516783.mp3	3960
common_voice_pt_42561425.mp3	7020
common_voice_pt_42593397.mp3	2880
common_voice_pt_42027985.mp3	5868
common_voice_pt_42693851.mp3	4716
common_voice_pt_42578472.mp3	3564
common_voice_pt_41978904.mp3	2952
common_voice_pt_42516866.mp3	3996
common_voice_pt_42068095.mp3	2736
common_voice_pt_41978888.mp3	2232
common_voice_pt_42653488.mp3	6948
common_voice_pt_42286511.mp3	4608
common_voice_pt_42561429.mp3	3636
common_voice_pt_42516867.mp3	3780
common_voice_pt_42503317.mp3	6408
common_voice_pt_42516760.mp3	3096
common_voice_pt_42653474.mp3	3168
common_voice_pt_42294974.mp3	5436
common_voice_pt_42593395.mp3	12276
common_voice_pt_42653475.mp3	5040
common_voice_pt_42516713.mp3	2916
common_voice_pt_42028128.mp3	3744
common_voice_pt_42516812.mp3	5760
common_voice_pt_42693835.mp3	5760
common_voice_pt_42653333.mp3	6948
common_voice_pt_41978935.mp3	6732
common_voice_pt_42615435.mp3	2988
common_voice_pt_42653420.mp3	5508
common_voice_pt_42653402.mp3	5976
common_voice_pt_42653385.mp3	8496
common_voice_pt_41978909.mp3	13320
common_voice_pt_42516794.mp3	3348
common_voice_pt_42578482.mp3	2772
common_voice_pt_42027983.mp3	6336
common_voice_pt_42482576.mp3	8640
common_voice_pt_42516802.mp3	4860
common_voice_pt_42319093.mp3	5868
common_voice_pt_42469187.mp3	14796
common_voice_pt_41978871.mp3	15552
common_voice_pt_42503397.mp3	4320
common_voice_pt_41997304.mp3	9720
common_voice_pt_42516828.mp3	6696
common_voice_pt_42503381.mp3	2988
common_voice_pt_41997305.mp3	9108
common_voice_pt_42024920.mp3	7164
common_voice_pt_41978938.mp3	5580
common_voice_pt_42653389.mp3	4068
common_voice_pt_42516789.mp3	3636
common_voice_pt_42516806.mp3	2736
common_voice_pt_41978903.mp3	2016
common_voice_pt_42516845.mp3	3168
common_voice_pt_42516776.mp3	5436
common_voice_pt_42653464.mp3	2268
common_voice_pt_41978936.mp3	12024
common_voice_pt_42516858.mp3	4968
common_voice_pt_41978895.mp3	11484
common_voice_pt_42516793.mp3	8928
common_voice_pt_42653399.mp3	4320
common_voice_pt_42653472.mp3	5616
common_voice_pt_42653442.mp3	2196
common_voice_pt_42593394.mp3	4860
common_voice_pt_42516810.mp3	4176
common_voice_pt_42503352.mp3	2772
common_voice_pt_42068133.mp3	7956
common_voice_pt_42295019.mp3	6336
common_voice_pt_42653470.mp3	12816
common_voice_pt_42558469.mp3	5436
common_voice_pt_42653468.mp3	14148
common_voice_pt_42516697.mp3	7920
common_voice_pt_42068134.mp3	5796
common_voice_pt_41978915.mp3	1692
common_voice_pt_42516843.mp3	9828
common_voice_pt_42653330.mp3	4320
common_voice_pt_42458236.mp3	6300
common_voice_pt_42022074.mp3	6516
common_voice_pt_42028131.mp3	6804
common_voice_pt_41978948.mp3	7560
common_voice_pt_42593396.mp3	3888
common_voice_pt_41998700.mp3	3780
common_voice_pt_42503100.mp3	3780
common_voice_pt_42516715.mp3	2376
common_voice_pt_42516830.mp3	2340
common_voice_pt_42653332.mp3	2340
common_voice_pt_42022077.mp3	4176
common_voice_pt_42061947.mp3	2268
common_voice_pt_41978932.mp3	2304
common_voice_pt_42693850.mp3	13608
common_voice_pt_42319094.mp3	12996
common_voice_pt_42561426.mp3	6480
common_voice_pt_42516875.mp3	4788
common_voice_pt_42503324.mp3	5832
common_voice_pt_42653394.mp3	6840
common_voice_pt_42068114.mp3	3420
common_voice_pt_42068142.mp3	5076
common_voice_pt_42503102.mp3	3744
common_voice_pt_42516837.mp3	6228
common_voice_pt_42516801.mp3	3960
common_voice_pt_42616733.mp3	4284
common_voice_pt_41978874.mp3	4644
common_voice_pt_41998698.mp3	2736
common_voice_pt_42294998.mp3	7380
common_voice_pt_42068092.mp3	8460
common_voice_pt_42294996.mp3	4500
common_voice_pt_42653471.mp3	10800
common_voice_pt_42503396.mp3	4932
common_voice_pt_42068120.mp3	4608
common_voice_pt_42516871.mp3	11700
common_voice_pt_42458221.mp3	2160
common_voice_pt_42503103.mp3	2556
common_voice_pt_42693849.mp3	4896
common_voice_pt_41978939.mp3	6264
common_voice_pt_42027982.mp3	5652
common_voice_pt_42028129.mp3	14904
common_voice_pt_42295017.mp3	5508
common_voice_pt_42516831.mp3	6876
common_voice_pt_42503024.mp3	5004
common_voice_pt_42028132.mp3	9828
common_voice_pt_42516851.mp3	2628
common_voice_pt_42503025.mp3	12276
common_voice_pt_42503026.mp3	11736
common_voice_pt_42516825.mp3	2880
common_voice_pt_42469183.mp3	3600
common_voice_pt_42516805.mp3	3708
common_voice_pt_42516714.mp3	3816
common_voice_pt_42616732.mp3	2664
common_voice_pt_42516717.mp3	6156
common_voice_pt_42653485.mp3	5256
common_voice_pt_42653375.mp3	5580
common_voice_pt_42469181.mp3	6228
common_voice_pt_42027984.mp3	7236
common_voice_pt_42516844.mp3	5076
common_voice_pt_42516833.mp3	4068
common_voice_pt_42516838.mp3	4140
common_voice_pt_42503027.mp3	4824
common_voice_pt_42286543.mp3	5760
common_voice_pt_42516744.mp3	4500
common_voice_pt_42503292.mp3	3420
common_voice_pt_41978949.mp3	5472
common_voice_pt_42653391.mp3	11736
common_voice_pt_42653342.mp3	3888
common_voice_pt_42503425.mp3	6732
common_voice_pt_42024897.mp3	4392
common_voice_pt_41978872.mp3	4860
common_voice_pt_42294991.mp3	4320
common_voice_pt_42068135.mp3	4176
common_voice_pt_42516841.mp3	2916
common_voice_pt_42024905.mp3	7092
common_voice_pt_41998701.mp3	2736
common_voice_pt_42027927.mp3	9252
common_voice_pt_42653482.mp3	2268
common_voice_pt_42294929.mp3	3240
common_voice_pt_42503293.mp3	1908
common_voice_pt_41978887.mp3	13644
common_voice_pt_42653386.mp3	5976
common_voice_pt_42653374.mp3	3456
common_voice_pt_42653393.mp3	8640
common_voice_pt_42578491.mp3	2448
common_voice_pt_42653401.mp3	3276
common_voice_pt_42516709.mp3	6156
common_voice_pt_42578471.mp3	2592
common_voice_pt_42482578.mp3	3096
common_voice_pt_41978886.mp3	14904
common_voice_pt_42482577.mp3	3636
common_voice_pt_42516746.mp3	4680
common_voice_pt_42027923.mp3	4536
common_voice_pt_42068122.mp3	3276
common_voice_pt_42469190.mp3	7560
common_voice_pt_42502948.mp3	5652
common_voice_pt_41978875.mp3	7740
common_voice_pt_41978907.mp3	8748
common_voice_pt_42653491.mp3	10620
common_voice_pt_42503082.mp3	3492
common_voice_pt_42516763.mp3	7740
common_voice_pt_42286544.mp3	3888
common_voice_pt_42027957.mp3	6624
common_voice_pt_42068106.mp3	9576
common_voice_pt_41978930.mp3	5940
common_voice_pt_42578479.mp3	2736
common_voice_pt_41978902.mp3	2520
common_voice_pt_42653372.mp3	6120
common_voice_pt_41978943.mp3	5148
common_voice_pt_41978911.mp3	5472
common_voice_pt_42653419.mp3	2160
common_voice_pt_42516786.mp3	4176
common_voice_pt_42024907.mp3	4248
common_voice_pt_42469188.mp3	11088
common_voice_pt_42028153.mp3	5904
common_voice_pt_42690217.mp3	10440
common_voice_pt_42693836.mp3	11520
common_voice_pt_42319096.mp3	3924
common_voice_pt_42516877.mp3	3996
common_voice_pt_42653412.mp3	15516
common_voice_pt_42482579.mp3	10260
common_voice_pt_42557922.mp3	3816
common_voice_pt_42027956.mp3	4896
common_voice_pt_42516864.mp3	3996
common_voice_pt_42516797.mp3	3096
common_voice_pt_42516840.mp3	4860
common_voice_pt_42294899.mp3	5616
common_voice_pt_42597303.mp3	9756
common_voice_pt_41978881.mp3	15516
common_voice_pt_42516868.mp3	5076
common_voice_pt_42516834.mp3	2448
common_voice_pt_41978880.mp3	5256
common_voice_pt_42516857.mp3	6336
common_voice_pt_42615434.mp3	2916
common_voice_pt_42068097.mp3	4860
common_voice_pt_42028157.mp3	3888
common_voice_pt_42653449.mp3	6876
common_voice_pt_42503422.mp3	4248
common_voice_pt_42027925.mp3	4320
common_voice_pt_42516774.mp3	2808
common_voice_pt_42503377.mp3	2520
common_voice_pt_42294976.mp3	4536
common_voice_pt_42516855.mp3	3636
common_voice_pt_42295018.mp3	3708
common_voice_pt_42469184.mp3	2340
common_voice_pt_42578493.mp3	2700
common_voice_pt_42616731.mp3	2844
common_voice_pt_42294994.mp3	3708
common_voice_pt_41978917.mp3	5904
common_voice_pt_42516820.mp3	3420
common_voice_pt_42027938.mp3	7344
common_voice_pt_41978870.mp3	4932
common_voice_pt_42295016.mp3	5436
common_voice_pt_42503322.mp3	3636
common_voice_pt_42653334.mp3	5436
common_voice_pt_42516728.mp3	2376
common_voice_pt_42653373.mp3	5436
common_voice_pt_42653395.mp3	5328
common_voice_pt_42516716.mp3	5328
common_voice_pt_42516869.mp3	7056
common_voice_pt_42028006.mp3	6480
common_voice_pt_42068136.mp3	4968
common_voice_pt_42516768.mp3	5796
common_voice_pt_42027942.mp3	6120
common_voice_pt_42653400.mp3	4860
common_voice_pt_42693852.mp3	2700
common_voice_pt_41978916.mp3	4284
common_voice_pt_42653340.mp3	12780
common_voice_pt_41978882.mp3	2448
common_voice_pt_42068093.mp3	4896
common_voice_pt_42503350.mp3	4320
common_voice_pt_42027941.mp3	8244
common_voice_pt_42616736.mp3	2844
common_voice_pt_42516816.mp3	5040
common_voice_pt_42516849.mp3	2880
common_voice_pt_42516785.mp3	8460
common_voice_pt_42319092.mp3	7488
common_voice_pt_42068109.mp3	4428
common_voice_pt_42653409.mp3	5868
common_voice_pt_42027960.mp3	6516
common_voice_pt_42578489.mp3	2844
common_voice_pt_41978879.mp3	6696
common_voice_pt_41978885.mp3	3744
common_voice_pt_42068124.mp3	2556
common_voice_pt_42068127.mp3	3456
common_voice_pt_42516777.mp3	4500
common_voice_pt_42503289.mp3	7452
common_voice_pt_42653422.mp3	4680
common_voice_pt_42516790.mp3	1908
common_voice_pt_42027958.mp3	6948
common_voice_pt_42503321.mp3	5796
common_voice_pt_42504452.mp3	2088
common_voice_pt_42653408.mp3	5508
common_voice_pt_42061946.mp3	8712
common_voice_pt_42024919.mp3	2520
common_voice_pt_42653483.mp3	12600
common_voice_pt_42516770.mp3	4428
common_voice_pt_42653421.mp3	2340
common_voice_pt_42516795.mp3	6336
common_voice_pt_42516823.mp3	4248
common_voice_pt_42516759.mp3	2160
common_voice_pt_42516811.mp3	2880
common_voice_pt_42503083.mp3	11448
common_voice_pt_42516781.mp3	3996
common_voice_pt_42593398.mp3	8208
common_voice_pt_42578492.mp3	5400
common_voice_pt_41978884.mp3	14724
common_voice_pt_42516814.mp3	2916
common_voice_pt_42561428.mp3	6840
common_voice_pt_42516846.mp3	3600
common_voice_pt_41978891.mp3	3708
common_voice_pt_42578461.mp3	3348
common_voice_pt_42516799.mp3	3816
common_voice_pt_42516792.mp3	4140
common_voice_pt_42027959.mp3	5580
common_voice_pt_42516835.mp3	3096
common_voice_pt_42028155.mp3	8964
common_voice_pt_42516758.mp3	14076
common_voice_pt_41978890.mp3	5976
common_voice_pt_41998702.mp3	4068
common_voice_pt_42653383.mp3	7740
common_voice_pt_41978937.mp3	2880
common_voice_pt_42024896.mp3	2844
common_voice_pt_42680400.mp3	2556
common_voice_pt_41978946.mp3	2052
common_voice_pt_41978928.mp3	6624
common_voice_pt_42503394.mp3	3996
common_voice_pt_42516696.mp3	4716
common_voice_pt_42653441.mp3	7200
common_voice_pt_42516711.mp3	2808
common_voice_pt_42516817.mp3	11916
common_voice_pt_42680402.mp3	3960
common_voice_pt_42022076.mp3	4536
common_voice_pt_41964526.mp3	5040
common_voice_pt_42027939.mp3	6372
common_voice_pt_42516787.mp3	1656
common_voice_pt_42693839.mp3	3636
common_voice_pt_42653452.mp3	6588
common_voice_pt_42503291.mp3	5580
common_voice_pt_42541034.mp3	6480
common_voice_pt_42516850.mp3	3456
common_voice_pt_42653448.mp3	6696
common_voice_pt_42027940.mp3	13284
common_voice_pt_42516798.mp3	4500
common_voice_pt_42680401.mp3	5040
common_voice_pt_42653490.mp3	6552
common_voice_pt_42516832.mp3	5796
common_voice_pt_42653388.mp3	10836
common_voice_pt_42516762.mp3	2736
common_voice_pt_41978945.mp3	9288
common_voice_pt_42068132.mp3	6516
common_voice_pt_42653398.mp3	5760
common_voice_pt_42516878.mp3	10728
common_voice_pt_42286509.mp3	5688
common_voice_pt_42616735.mp3	4932
common_voice_pt_42028007.mp3	8064
common_voice_pt_42024922.mp3	5904
common_voice_pt_41978868.mp3	6084
common_voice_pt_42503351.mp3	3456
common_voice_pt_42294928.mp3	6516
common_voice_pt_42516807.mp3	10476
common_voice_pt_42578473.mp3	2340
common_voice_pt_42516693.mp3	3240
common_voice_pt_42516819.mp3	3276
common_voice_pt_42516821.mp3	5688
common_voice_pt_42068143.mp3	7776
common_voice_pt_42137951.mp3	6804
common_voice_pt_42653451.mp3	5616
common_voice_pt_42503080.mp3	6156
common_voice_pt_42286508.mp3	13356
common_voice_pt_42653450.mp3	6516
common_voice_pt_42558468.mp3	6768
common_voice_pt_42024903.mp3	6192
common_voice_pt_41964531.mp3	5040
common_voice_pt_42503393.mp3	4320
common_voice_pt_42516870.mp3	5688
common_voice_pt_42294993.mp3	4428
common_voice_pt_42653387.mp3	14076
common_voice_pt_42028130.mp3	4428
common_voice_pt_42061949.mp3	6228
common_voice_pt_41978934.mp3	6444
common_voice_pt_41978944.mp3	5328
common_voice_pt_42653486.mp3	7020
common_voice_pt_42516775.mp3	2736
common_voice_pt_42024921.mp3	13680
common_voice_pt_42516856.mp3	12600
common_voice_pt_42516708.mp3	14220
common_voice_pt_42516865.mp3	4680
common_voice_pt_42516767.mp3	5076
common_voice_pt_41978908.mp3	2808
common_voice_pt_42653331.mp3	5436
common_voice_pt_41978923.mp3	2736
common_voice_pt_42503423.mp3	4536
common_voice_pt_42516809.mp3	3960
common_voice_pt_41978940.mp3	7488
common_voice_pt_42693853.mp3	6228
common_voice_pt_42516804.mp3	12060
common_voice_pt_42294975.mp3	5400
common_voice_pt_42516780.mp3	3276
common_voice_pt_41964529.mp3	9900
common_voice_pt_42458219.mp3	2340
common_voice_pt_42503450.mp3	4824
common_voice_pt_42408882.mp3	4716
common_voice_pt_42286547.mp3	5508
common_voice_pt_42578490.mp3	3816
common_voice_pt_41997303.mp3	3816
common_voice_pt_42503451.mp3	4536
common_voice_pt_41978919.mp3	2664
common_voice_pt_42061950.mp3	12132
common_voice_pt_42653438.mp3	3996
common_voice_pt_42286512.mp3	6336
common_voice_pt_42690219.mp3	7164
common_voice_pt_42616739.mp3	5544
common_voice_pt_42653455.mp3	6588
common_voice_pt_41978941.mp3	6480
common_voice_pt_42516782.mp3	6408
common_voice_pt_42616738.mp3	2736
common_voice_pt_41978933.mp3	4932
common_voice_pt_42516737.mp3	2700
common_voice_pt_41978910.mp3	6084
common_voice_pt_42680398.mp3	7200
common_voice_pt_42653339.mp3	10080
common_voice_pt_42015157.mp3	5076
common_voice_pt_42616740.mp3	13932
common_voice_pt_42503380.mp3	4068
common_voice_pt_42516761.mp3	5400
common_voice_pt_42027924.mp3	8244
common_voice_pt_42137954.mp3	9576
common_voice_pt_42653396.mp3	4140
common_voice_pt_42022073.mp3	10080
common_voice_pt_42516743.mp3	6156
common_voice_pt_42578481.mp3	2016
common_voice_pt_42653410.mp3	6660
common_voice_pt_42024895.mp3	5004
common_voice_pt_41978869.mp3	4860
common_voice_pt_42653473.mp3	6300
common_voice_pt_42294978.mp3	3888
common_voice_pt_41978893.mp3	6660
common_voice_pt_42319095.mp3	7164
common_voice_pt_42516876.mp3	3420
common_voice_pt_42578469.mp3	3492
common_voice_pt_42516796.mp3	4500
common_voice_pt_42502946.mp3	6624
common_voice_pt_42516710.mp3	3996
common_voice_pt_41978878.mp3	6588
common_voice_pt_42516735.mp3	4176
common_voice_pt_42516813.mp3	4320
common_voice_pt_42558466.mp3	7452
common_voice_pt_42295015.mp3	8460
common_voice_pt_41978918.mp3	13356
common_voice_pt_41978931.mp3	4068
common_voice_pt_42653440.mp3	4500
common_voice_pt_42503382.mp3	5256
common_voice_pt_42516764.mp3	2268
common_voice_pt_42516824.mp3	2520
common_voice_pt_42693838.mp3	3888
common_voice_pt_42458217.mp3	7308
common_voice_pt_41978896.mp3	6084
common_voice_pt_41978926.mp3	13320
common_voice_pt_42469182.mp3	6408
common_voice_pt_42557923.mp3	5652
common_voice_pt_42653477.mp3	7848
common_voice_pt_42294930.mp3	4680
common_voice_pt_42137958.mp3	8640
common_voice_pt_41978906.mp3	12132
common_voice_pt_42503348.mp3	2844
common_voice_pt_42616737.mp3	2772
common_voice_pt_41978894.mp3	2736
common_voice_pt_42503395.mp3	6012
common_voice_pt_42516772.mp3	6768
common_voice_pt_42294905.mp3	5580
common_voice_pt_42557920.mp3	5292
common_voice_pt_42294901.mp3	5328
common_voice_pt_42578462.mp3	2232
common_voice_pt_41978927.mp3	3888
common_voice_pt_42653390.mp3	3420
common_voice_pt_42015155.mp3	4356
common_voice_pt_42516747.mp3	4320
common_voice_pt_42541037.mp3	6048
common_voice_pt_42469186.mp3	2376
common_voice_pt_42557924.mp3	4788
common_voice_pt_42516808.mp3	3708
common_voice_pt_41978913.mp3	3996
common_voice_pt_42690220.mp3	5400
common_voice_pt_42578470.mp3	6192
common_voice_pt_42653453.mp3	3636
common_voice_pt_42558465.mp3	4608
common_voice_pt_42286510.mp3	2808
common_voice_pt_42516771.mp3	12240
common_voice_pt_42653484.mp3	6120
common_voice_pt_42024894.mp3	3204
common_voice_pt_42024918.mp3	6768
common_voice_pt_41978914.mp3	4320
