Combination,psnr,REL_PSNR,,Benchmark RTX 2060,,Baseline
validate_baseline_4X,31.1448,0,,FPS,PSNR*Performance Ratio,31.1448
mega1X-mega28i_2X-mega10_2X,31.915,0.7702,,32.41,19.22587258,31.1448
mega1X-mega28i_2X-super10_2X,31.8432,0.6984,,53.55,26.11968509,31.1448
mega1X-mega28i_2X-ultra10_2X,31.935,0.7902,,27.98,17.4711608,31.1448
mega1X-super28i_2X-mega10_2X,31.891,0.7462,,36.22,20.16781902,31.1448
mega1X-super28i_2X-super10_2X,31.8088,0.664,,63.22,27.87344512,31.1448
mega1X-super28i_2X-ultra10_2X,31.9116,0.7668,,30.71,18.05693459,31.1448
mega1X-ultra28i_2X-mega10_2X,32.0362,0.8914,2nd BEST,31.32,24.88668283,31.1448
mega1X-ultra28i_2X-super10_2X,31.9587,0.8139,,49.61,32.86331155,31.1448
mega1X-ultra28i_2X-ultra10_2X,32.0233,0.8785,,26.99,20.82986313,31.1448
super1X-mega28i_2X-mega10_2X,31.857,0.7122,,36.54,18.53414181,31.1448
super1X-mega28i_2X-super10_2X,31.784,0.6392,,60.56,24.74340132,31.1448
super1X-mega28i_2X-ultra10_2X,31.8764,0.7316,,30.47,16.30871892,31.1448
super1X-super28i_2X-mega10_2X,31.8368,0.692,,40.39,19.34131696,31.1448
super1X-super28i_2X-super10_2X,31.756,0.6112,,74.64,27.88292444,31.1448
super1X-super28i_2X-ultra10_2X,31.8603,0.7155,,33.33,17.06296853,31.1448
super1X-ultra28i_2X-mega10_2X,31.9937,0.8489,,34.67,24.98428405,31.1448
super1X-ultra28i_2X-super10_2X,31.9156,0.7708,,57.72,34.29333598,31.1448
super1X-ultra28i_2X-ultra10_2X,31.9816,0.8368,,29.63,20.74794053,31.1448
ultra1X-mega28i_2X-mega10_2X,31.9411,0.7963,,31.99,20.28465714,31.1448
ultra1X-mega28i_2X-super10_2X,31.8652,0.7204,,50.26,26.0837418,31.1448
ultra1X-mega28i_2X-ultra10_2X,31.952,0.8072,,26.83,17.48167247,31.1448
ultra1X-super28i_2X-mega10_2X,31.9334,0.7886,,34.55,21.48629812,31.1448
ultra1X-super28i_2X-super10_2X,31.8481,0.7033,,58.87,29.11892049,31.1448
ultra1X-super28i_2X-ultra10_2X,31.9467,0.8019,,28.98,18.63540382,31.1448
ultra1X-ultra28i_2X-mega10_2X,32.0329,0.8881,3rd BEST,30.48,24.04023467,31.1448
ultra1X-ultra28i_2X-super10_2X,31.9539,0.8091,,46.93,30.72238707,31.1448
ultra1X-ultra28i_2X-ultra10_2X,32.0113,0.8665,,26.18,19.6565265,31.1448
1x 102X_102X=====================================================================,,-31.1448,,,,31.1448
folder,psnr,,,,,31.1448
mega1X-mega10_2X-mega10_2X,31.9138,0.769,,32.41,19.16601001,31.1448
mega1X-mega10_2X-super10_2X,31.8879,0.7431,,53.55,29.57018202,31.1448
mega1X-mega10_2X-ultra10_2X,31.957,0.8122,,27.98,18.45753414,31.1448
mega1X-super10_2X-mega10_2X,31.8479,0.7031,,36.22,17.90534287,31.1448
mega1X-super10_2X-super10_2X,31.7572,0.6124,,63.22,23.70963431,31.1448
mega1X-super10_2X-ultra10_2X,31.8564,0.7116,,30.71,15.55076274,31.1448
mega1X-ultra10_2X-mega10_2X,32.0114,0.8666,4th best,31.32,23.52118094,31.1448
mega1X-ultra10_2X-super10_2X,31.9524,0.8076,,49.61,32.35652307,31.1448
mega1X-ultra10_2X-ultra10_2X,31.9777,0.8329,,26.99,18.72356785,31.1448
super1X-mega10_2X-mega10_2X,31.8662,0.7214,,36.54,19.01607226,31.1448
super1X-mega10_2X-super10_2X,31.8423,0.6975,,60.56,29.4628185,31.1448
super1X-mega10_2X-ultra10_2X,31.9098,0.765,,30.47,17.83180575,31.1448
super1X-super10_2X-mega10_2X,31.8002,0.6554,,40.39,17.34949057,31.1448
super1X-super10_2X-super10_2X,31.7112,0.5664,,74.64,23.94518077,31.1448
super1X-super10_2X-ultra10_2X,31.8118,0.667,,33.33,14.82815037,31.1448
super1X-ultra10_2X-mega10_2X,31.976,0.8312,,34.67,23.95327556,31.1448
super1X-ultra10_2X-super10_2X,31.9182,0.7734,,57.72,34.52507716,31.1448
super1X-ultra10_2X-ultra10_2X,31.9439,0.7991,,29.63,18.9205568,31.1448
ultra1X-mega10_2X-mega10_2X,31.9723,0.8275,,31.99,21.90535244,31.1448
ultra1X-mega10_2X-super10_2X,31.9444,0.7996,,50.26,32.13424164,31.1448
ultra1X-mega10_2X-ultra10_2X,32.0078,0.863,,26.83,19.98215227,31.1448
ultra1X-super10_2X-mega10_2X,31.9016,0.7568,,34.55,19.78838259,31.1448
ultra1X-super10_2X-super10_2X,31.8096,0.6648,,58.87,26.01812868,31.1448
ultra1X-super10_2X-ultra10_2X,31.9062,0.7614,,28.98,16.80057424,31.1448
ultra1X-ultra10_2X-mega10_2X,32.0453,0.9005,1st BEST,30.48,24.71623962,31.1448
ultra1X-ultra10_2X-super10_2X,31.9838,0.839,,46.93,33.03501253,31.1448
ultra1X-ultra10_2X-ultra10_2X,32.0038,0.859,,26.18,19.31772458,31.1448
1x 28i_2x 28i_2x=====================================================================,,,,,,31.1448
ultra1X-ultra28i_2X-mega28i_2X,31.9841,0.8393,,32.41,22.83039772,31.1448
ultra1X-ultra28i_2X-super28i_2X,31.9629,0.8181,,53.55,35.84035152,31.1448
ultra1X-ultra28i_2X-ultra28i_2X,31.9686,0.8238,,27.98,18.98852739,31.1448
mega1X-mega28i_2X-mega28i_2X,31.8653,0.7205,,36.22,18.80253546,31.1448
mega1X-mega28i_2X-super28i_2X,31.8545,0.7097,,63.22,31.84227597,31.1448
mega1X-mega28i_2X-ultra28i_2X,31.941,0.7962,,30.71,19.46812665,31.1448
mega1X-super28i_2X-mega28i_2X,31.89,0.7452,,31.32,17.39271761,31.1448
mega1X-super28i_2X-super28i_2X,31.829,0.6842,,49.61,23.22391144,31.1448
mega1X-super28i_2X-ultra28i_2X,31.9456,0.8008,,26.99,17.30816447,31.1448
mega1X-ultra28i_2X-mega28i_2X,32.0001,0.8553,,36.54,26.73040181,31.1448
mega1X-ultra28i_2X-super28i_2X,31.9756,0.8308,,60.56,41.80024644,31.1448
mega1X-ultra28i_2X-ultra28i_2X,31.9915,0.8467,,30.47,21.84397012,31.1448
super1X-mega28i_2X-mega28i_2X,31.8052,0.6604,,40.39,17.61521638,31.1448
super1X-mega28i_2X-super28i_2X,31.7948,0.65,,74.64,31.5354,31.1448
super1X-mega28i_2X-ultra28i_2X,31.8804,0.7356,,33.33,18.03510831,31.1448
super1X-super28i_2X-mega28i_2X,31.8318,0.687,,34.67,16.36316523,31.1448
super1X-super28i_2X-super28i_2X,31.7751,0.6303,,57.72,22.93089135,31.1448
super1X-super28i_2X-ultra28i_2X,31.8812,0.7364,,29.63,16.06790336,31.1448
super1X-ultra28i_2X-mega28i_2X,31.9559,0.8111,,31.99,21.04568389,31.1448
super1X-ultra28i_2X-super28i_2X,31.9323,0.7875,,50.26,31.16905313,31.1448
super1X-ultra28i_2X-ultra28i_2X,31.9448,0.8,,26.83,17.1712,31.1448
ultra1X-mega28i_2X-mega28i_2X,31.8775,0.7327,,34.55,18.54814297,31.1448
ultra1X-mega28i_2X-super28i_2X,31.8734,0.7286,,58.87,31.25160811,31.1448
ultra1X-mega28i_2X-ultra28i_2X,31.9536,0.8088,,28.98,18.95748261,31.1448
ultra1X-super28i_2X-mega28i_2X,31.919,0.7742,,30.48,18.26927431,31.1448
ultra1X-super28i_2X-super28i_2X,31.8638,0.719,,46.93,24.26097973,31.1448
ultra1X-super28i_2X-ultra28i_2X,31.9709,0.8261,,26.18,17.86631088,31.1448